Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PS_G
1,Golden State Warriors,82,19780,3403,7406,0.459,761,2185,0.348,2642,5221,0.506,1538,2044,0.752,1045,2496,3541,1833,744,377,1082,1875,9105,111
2,Denver Nuggets*,82,19855,3307,7038,0.47,569,1605,0.355,2738,5433,0.504,1891,2519,0.751,918,2698,3616,2024,752,551,1203,1731,9074,110.7
3,Phoenix Suns*,82,19780,3392,6782,0.5,694,1764,0.393,2698,5018,0.538,1548,1977,0.783,720,2683,3403,2188,532,518,1184,1633,9026,110.1
4,Los Angeles Lakers*,82,19780,3248,6818,0.476,662,1751,0.378,2586,5067,0.51,1746,2270,0.769,898,2722,3620,2003,654,438,1156,1691,8904,108.6
5,Utah Jazz*,82,19705,3279,6592,0.497,407,1095,0.372,2872,5497,0.522,1745,2298,0.759,942,2410,3352,2165,717,355,1200,1970,8710,106.2
6,Orlando Magic*,82,19780,3058,6446,0.474,801,2074,0.386,2257,4372,0.516,1650,2288,0.721,768,2677,3445,1706,520,333,1173,1688,8567,104.5
7,Indiana Pacers,82,19755,3102,6993,0.444,755,2021,0.374,2347,4972,0.472,1568,2042,0.768,904,2633,3537,1864,623,412,1236,1921,8527,104
8,Sacramento Kings,82,19830,3043,6558,0.464,510,1367,0.373,2533,5191,0.488,1812,2272,0.798,829,2456,3285,1567,651,334,1317,1839,8408,102.5
9,New Orleans Hornets*,82,19805,3164,6796,0.466,630,1621,0.389,2534,5175,0.49,1312,1707,0.769,937,2494,3431,1785,637,321,974,1531,8270,100.9
10,Memphis Grizzlies,82,19805,3060,6737,0.454,620,1779,0.349,2440,4958,0.492,1517,2097,0.723,848,2567,3415,1574,503,386,1251,1592,8257,100.7
11,Boston Celtics*,82,19755,2986,6286,0.475,596,1564,0.381,2390,4722,0.506,1677,2176,0.771,830,2615,3445,1833,696,379,1246,1864,8245,100.5
12,Dallas Mavericks*,82,19730,3025,6515,0.464,494,1403,0.352,2531,5112,0.495,1690,2075,0.814,883,2643,3526,1720,490,402,1037,1786,8234,100.4
13,Toronto Raptors*,82,19830,3148,6726,0.468,572,1459,0.392,2576,5267,0.489,1347,1658,0.812,790,2496,3286,1953,570,336,959,1596,8215,100.2
14,Washington Wizards*,82,19905,2986,6695,0.446,575,1614,0.356,2411,5081,0.475,1557,1991,0.782,1007,2404,3411,1607,632,391,1082,1606,8104,98.8
15,Atlanta Hawks*,82,19855,2975,6552,0.454,384,1078,0.356,2591,5474,0.473,1720,2227,0.772,1008,2454,3462,1804,600,448,1223,1673,8054,98.2
16,Detroit Pistons*,82,19730,2999,6551,0.458,487,1330,0.366,2512,5221,0.481,1507,1965,0.767,974,2423,3397,1831,583,472,956,1688,7992,97.5
17,Seattle SuperSonics,82,19830,3125,7032,0.444,313,939,0.333,2812,6093,0.462,1436,1866,0.77,971,2688,3659,1748,531,400,1310,1680,7999,97.5
18,Chicago Bulls,82,19805,2987,6861,0.435,474,1305,0.363,2513,5556,0.452,1533,2029,0.756,1050,2478,3528,1811,635,429,1197,1784,7981,97.3
19,Charlotte Bobcats,82,19880,2960,6554,0.452,529,1443,0.367,2431,5111,0.476,1510,2115,0.714,892,2440,3332,1748,614,402,1204,1777,7959,97.1
20,Milwaukee Bucks,82,19855,3026,6745,0.449,452,1313,0.344,2574,5432,0.474,1452,1980,0.733,1055,2363,3418,1760,544,361,1210,1748,7956,97
21,New York Knicks,82,19880,2967,6757,0.439,490,1454,0.337,2477,5303,0.467,1524,2095,0.727,1029,2457,3486,1530,521,213,1187,1761,7948,96.9
22,Houston Rockets*,82,19730,3003,6698,0.448,583,1707,0.342,2420,4991,0.485,1342,1848,0.726,1002,2659,3661,1757,598,420,1125,1609,7931,96.7
23,Philadelphia 76ers*,82,19755,3056,6648,0.46,302,952,0.317,2754,5696,0.483,1509,2137,0.706,1067,2370,3437,1673,712,400,1172,1620,7923,96.6
24,Cleveland Cavaliers*,82,19855,2937,6697,0.439,552,1544,0.358,2385,5153,0.463,1477,2061,0.717,1092,2563,3655,1640,579,427,1145,1712,7903,96.4
25,New Jersey Nets,82,19830,2856,6450,0.443,498,1430,0.348,2358,5020,0.47,1647,2237,0.736,913,2520,3433,1925,521,390,1229,1855,7857,95.8
26,Minnesota Timberwolves,82,19730,3076,6817,0.451,441,1259,0.35,2635,5558,0.474,1246,1693,0.736,964,2428,3392,1630,616,306,1188,1885,7839,95.6
27,San Antonio Spurs*,82,19730,2938,6424,0.457,594,1610,0.369,2344,4814,0.487,1350,1774,0.761,771,2612,3383,1718,521,337,1035,1537,7820,95.4
28,Portland Trail Blazers,82,19905,2935,6546,0.448,538,1426,0.377,2397,5120,0.468,1412,1841,0.767,901,2438,3339,1733,455,360,1056,1642,7820,95.4
29,Los Angeles Clippers,82,19805,2820,6445,0.438,350,1079,0.324,2470,5366,0.46,1702,2178,0.781,800,2491,3291,1732,557,398,1180,1745,7692,93.8
30,Miami Heat,82,19830,2808,6336,0.443,491,1373,0.358,2317,4963,0.467,1384,1903,0.727,743,2342,3085,1644,589,355,1202,1670,7491,91.4
