Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PS_G
1,Phoenix Suns*,82,19905,3388,6855,0.494,785,1965,0.399,2603,4890,0.532,1476,1827,0.808,737,2583,3320,2122,553,394,1189,1659,9037,110.2
2,Golden State Warriors*,82,19755,3261,7048,0.463,700,1967,0.356,2561,5081,0.504,1515,2113,0.717,940,2456,3396,1950,750,466,1309,1933,8737,106.5
3,Denver Nuggets*,82,19780,3164,6805,0.465,484,1440,0.336,2680,5365,0.5,1827,2449,0.746,1001,2558,3559,1920,678,435,1352,1756,8639,105.4
4,Washington Wizards*,82,19830,3070,6820,0.45,561,1614,0.348,2509,5206,0.482,1855,2425,0.765,998,2379,3377,1660,635,375,1133,1823,8556,104.3
5,Los Angeles Lakers*,82,20030,3103,6664,0.466,608,1724,0.353,2495,4940,0.505,1660,2221,0.747,886,2495,3381,1850,600,421,1273,1889,8474,103.3
6,Memphis Grizzlies,82,19980,2998,6448,0.465,500,1362,0.367,2498,5086,0.491,1835,2410,0.761,866,2375,3241,1680,564,407,1343,1827,8331,101.6
7,Utah Jazz*,82,19805,3069,6471,0.474,354,1056,0.335,2715,5415,0.501,1830,2462,0.743,1030,2456,3486,2024,577,339,1277,2067,8322,101.5
8,Sacramento Kings,82,19805,2941,6532,0.45,530,1513,0.35,2411,5019,0.48,1891,2473,0.765,797,2396,3193,1665,671,265,1194,1792,8303,101.3
9,Dallas Mavericks*,82,19755,3010,6442,0.467,535,1404,0.381,2475,5038,0.491,1646,2045,0.805,920,2515,3435,1632,560,408,1140,1837,8201,100
10,Milwaukee Bucks,82,19855,3121,6714,0.465,524,1472,0.356,2597,5242,0.495,1406,1919,0.733,941,2272,3213,1771,587,224,1240,1821,8172,99.7
11,Toronto Raptors*,82,19755,3032,6547,0.463,531,1464,0.363,2501,5083,0.492,1562,1982,0.788,755,2480,3235,1822,581,321,1104,1672,8157,99.5
12,Seattle SuperSonics,82,19830,3047,6628,0.46,525,1451,0.362,2522,5177,0.487,1511,1911,0.791,928,2322,3250,1695,631,301,1268,1801,8130,99.1
13,Chicago Bulls*,82,19780,3046,6663,0.457,480,1237,0.388,2566,5426,0.473,1528,2083,0.734,984,2597,3581,1832,639,445,1310,1908,8100,98.8
14,San Antonio Spurs*,82,19780,2999,6328,0.474,595,1561,0.381,2404,4767,0.504,1486,1980,0.751,761,2577,3338,1814,587,417,1137,1588,8079,98.5
15,New Jersey Nets*,82,19880,2913,6379,0.457,609,1676,0.363,2304,4703,0.49,1566,2153,0.727,822,2525,3347,1962,499,273,1212,1869,8001,97.6
16,New York Knicks,82,20005,2903,6356,0.457,474,1370,0.346,2429,4986,0.487,1714,2396,0.715,1032,2516,3548,1532,543,260,1405,1932,7994,97.5
17,Houston Rockets*,82,19855,2906,6528,0.445,705,1893,0.372,2201,4635,0.475,1436,1906,0.753,880,2673,3553,1704,583,337,1162,1710,7953,97
18,Charlotte Bobcats,82,20005,2960,6643,0.446,457,1280,0.357,2503,5363,0.467,1568,2136,0.734,920,2346,3266,1836,638,369,1224,1985,7945,96.9
19,Cleveland Cavaliers*,82,19880,2978,6658,0.447,494,1404,0.352,2484,5254,0.473,1484,2133,0.696,1039,2529,3568,1708,625,353,1177,1781,7934,96.8
20,Minnesota Timberwolves,82,20005,2997,6503,0.461,384,1089,0.353,2613,5414,0.483,1499,1892,0.792,819,2474,3293,1848,532,325,1278,1758,7877,96.1
21,Detroit Pistons*,82,19880,2942,6484,0.454,449,1305,0.344,2493,5179,0.481,1539,1988,0.774,948,2374,3322,1768,583,472,1001,1672,7872,96
22,Boston Celtics,82,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,95.8
23,Indiana Pacers,82,19780,2872,6561,0.438,481,1389,0.346,2391,5172,0.462,1615,2125,0.76,990,2441,3431,1680,599,447,1335,1912,7840,95.6
24,Los Angeles Clippers,82,19730,2880,6318,0.456,314,903,0.348,2566,5415,0.474,1769,2245,0.788,888,2484,3372,1762,596,472,1239,1858,7843,95.6
25,New Orleans/Oklahoma City Hornets,82,19880,2971,6674,0.445,455,1256,0.362,2516,5418,0.464,1436,1941,0.74,1025,2512,3537,1537,522,347,1187,1620,7833,95.5
26,Philadelphia 76ers,82,19880,2932,6408,0.458,284,823,0.345,2648,5585,0.474,1637,2135,0.767,899,2353,3252,1669,590,390,1258,1671,7785,94.9
27,Orlando Magic*,82,19780,2875,6090,0.472,342,962,0.356,2533,5128,0.494,1679,2393,0.702,920,2418,3338,1525,565,416,1392,1904,7771,94.8
28,Miami Heat*,82,19855,2919,6288,0.464,528,1539,0.343,2391,4749,0.503,1393,2019,0.69,817,2526,3343,1681,566,442,1201,1749,7759,94.6
29,Portland Trail Blazers,82,19955,2874,6392,0.45,426,1232,0.346,2448,5160,0.474,1543,2006,0.769,923,2299,3222,1513,555,380,1236,1931,7717,94.1
30,Atlanta Hawks,82,19880,2831,6372,0.444,341,1038,0.329,2490,5334,0.467,1677,2203,0.761,976,2312,3288,1573,609,446,1306,1970,7680,93.7
